clubName,leagueName,countryName,clubLogo,countryFlag
SCR Altach,Austrian Football Bundesliga,Austria,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/SCR+Altach.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Austria.png
Independiente Medellín,Colombian Liga Postobón,Colombia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Independiente+Medellín.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Colombia.png
FC Würzburger Kickers,German 2. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Würzburger+Kickers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Amkar Perm,Russian Premier League,Russia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Amkar+Perm.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Russia.png
Waasland-Beveren,Belgian Jupiler Pro League,Belgium,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Waasland-Beveren.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Belgium.png
Lechia Gdańsk,Polish T-Mobile Ekstraklasa,Poland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Lechia+Gdańsk.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Poland.png
Newcastle Jets,Australian Hyundai A-League,Australia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Newcastle+Jets.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Australia.png
Aarhus GF,Danish Superliga,Denmark,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Aarhus+GF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Denmark.png
Derry City,Rep. Ireland Airtricity League,Republic of Ireland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Derry+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Republic+of+Ireland.png
Romania,,Romania,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Romania.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Romania.png
Slovenia,,Slovenia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Slovenia.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Slovenia.png
Palermo,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Palermo.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
St. Mirren,Scottish Premiership,Scotland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/St.+Mirren.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Scotland.png
